x,y,z,pct_inside,center_lat,center_lon,towns,ruling
4847,6085,14,81.57,41.943148,-73.487549,Salisbury,
4889,6126,14,81.68,41.269549,-72.564697,Madison,
4924,6100,14,82.03,41.697525,-71.795654,Sterling,
4924,6105,14,82.04,41.615442,-71.795654,Voluntown,
4850,6138,14,82.42,41.071069,-73.421631,Norwalk,
4859,6133,14,83.58,41.153842,-73.223877,Bridgeport; Fairfield,
4837,6136,14,83.89,41.10419,-73.707275,Greenwich,
4908,6080,14,84.14,42.024813,-72.147217,Union,
4883,6127,14,84.22,41.253032,-72.696533,Guilford,
4858,6134,14,84.55,41.137296,-73.24585,Fairfield,
4856,6079,14,84.9,42.041133,-73.289795,North Canaan,
4924,6101,14,84.95,41.681117,-71.795654,Sterling,
4924,6104,14,85.02,41.631867,-71.795654,Voluntown; Sterling,
4846,6101,14,85.1,41.681117,-73.509521,Kent,
4864,6132,14,85.15,41.170384,-73.114014,Stratford; Milford,
4879,6126,14,85.33,41.269549,-72.784424,Branford,
4907,6080,14,85.77,42.024813,-72.169189,Union,
4861,6132,14,86.56,41.170384,-73.179932,Bridgeport,
4889,6080,14,87.03,42.024813,-72.564697,Enfield,
4842,6133,14,87.08,41.153842,-73.597412,Stamford,
4845,6117,14,87.18,41.418015,-73.531494,Danbury,
4914,6123,14,87.36,41.319075,-72.015381,Groton,
4906,6080,14,87.4,42.024813,-72.191162,Union,
4919,6122,14,87.7,41.335575,-71.905518,Stonington,
4924,6102,14,87.87,41.664705,-71.795654,Sterling,
4924,6103,14,88.01,41.648288,-71.795654,Sterling; Voluntown,
4872,6125,14,88.12,41.286062,-72.938232,New Haven; West Haven,
4905,6124,14,88.18,41.302571,-72.213135,East Lyme,
4855,6079,14,88.62,42.041133,-73.311768,North Canaan,
4847,6086,14,88.81,41.926803,-73.487549,Salisbury; Sharon,
4847,6130,14,88.81,41.203456,-73.487549,New Canaan; Wilton,
4891,6126,14,88.95,41.269549,-72.520752,Clinton,
4905,6080,14,89.03,42.024813,-72.213135,Stafford; Union,
4837,6137,14,89.12,41.087632,-73.707275,Greenwich,
4846,6102,14,90.31,41.664705,-73.509521,Sherman; Kent; New Milford,
4904,6080,14,90.67,42.024813,-72.235107,Stafford,
4878,6082,14,90.7,41.99216,-72.806396,Granby,
4922,6117,14,90.97,41.418015,-71.8396,North Stonington; Stonington,
4903,6080,14,91.92,42.024813,-72.25708,Stafford,
4854,6079,14,92.13,42.041133,-73.33374,North Canaan; Salisbury,
4902,6080,14,92.49,42.024813,-72.279053,Stafford,
4842,6141,14,92.67,41.021355,-73.597412,Greenwich,
4886,6080,14,92.96,42.024813,-72.630615,Suffield,
4901,6080,14,93.05,42.024813,-72.301025,Stafford,
4901,6125,14,93.29,41.286062,-72.301025,Old Lyme,
4845,6125,14,93.4,41.286062,-73.531494,Ridgefield,
4903,6124,14,93.68,41.302571,-72.25708,Old Lyme; East Lyme,
4900,6125,14,93.78,41.286062,-72.322998,Old Lyme,
4845,6140,14,94.01,41.03793,-73.531494,Stamford,
4900,6080,14,94.04,42.024813,-72.322998,Stafford,
4847,6087,14,94.09,41.910453,-73.487549,Sharon,
4845,6118,14,95.49,41.401535,-73.531494,Danbury,
4846,6103,14,95.51,41.648288,-73.509521,Sherman,
4853,6079,14,95.63,42.041133,-73.355713,Salisbury; North Canaan,
4873,6124,14,95.65,41.302571,-72.91626,New Haven,
4899,6080,14,96.02,42.024813,-72.344971,Stafford,
4877,6126,14,96.08,41.269549,-72.828369,Branford,
4839,6135,14,96.22,41.120745,-73.66333,Greenwich,
4916,6122,14,96.77,41.335575,-71.971436,Stonington; Groton,
4844,6132,14,96.84,41.170384,-73.553467,Stamford; New Canaan,
4908,6123,14,96.86,41.319075,-72.147217,Waterford,
4839,6140,14,97.0,41.03793,-73.66333,Greenwich,
4894,6125,14,97.32,41.286062,-72.454834,Westbrook,
4852,6136,14,97.33,41.10419,-73.377686,Westport; Norwalk,
4921,6122,14,97.54,41.335575,-71.861572,Stonington,
4847,6139,14,97.87,41.054501,-73.487549,Darien; Stamford,
4875,6127,14,97.91,41.253032,-72.872314,East Haven,
4898,6080,14,98.03,42.024813,-72.366943,Stafford,
4895,6125,14,98.14,41.286062,-72.432861,Westbrook; Old Saybrook,
4847,6128,14,98.2,41.236511,-73.487549,Wilton; Ridgefield,
4910,6123,14,98.28,41.319075,-72.103271,New London; Waterford,
4890,6080,14,98.38,42.024813,-72.542725,Enfield,
4847,6088,14,98.51,41.894099,-73.487549,Sharon,
4882,6126,14,98.87,41.269549,-72.718506,Guilford; Branford,
4854,6135,14,98.9,41.120745,-73.33374,Westport,
4881,6126,14,98.92,41.269549,-72.740479,Branford; Guilford,
4852,6079,14,99.02,42.041133,-73.377686,Salisbury,
4874,6125,14,99.02,41.286062,-72.894287,New Haven; East Haven,
4890,6126,14,99.13,41.269549,-72.542725,Clinton; Madison,
4885,6080,14,99.18,42.024813,-72.652588,Suffield,
4899,6123,14,99.2,41.319075,-72.344971,Old Lyme; Old Saybrook,
4905,6123,14,99.21,41.319075,-72.213135,East Lyme,
4846,6104,14,99.45,41.631867,-73.509521,Sherman,
4898,6124,14,99.51,41.302571,-72.366943,Old Saybrook,
4896,6125,14,99.52,41.286062,-72.410889,Old Saybrook; Westbrook,
4915,6122,14,99.58,41.335575,-71.993408,Groton,
4898,6125,14,99.59,41.286062,-72.366943,Old Saybrook,
4846,6139,14,99.6,41.054501,-73.509521,Stamford; Darien,
4879,6082,14,99.77,41.99216,-72.784424,Granby; Suffield,
4897,6080,14,99.77,42.024813,-72.388916,Stafford; Somers,
4845,6119,14,99.8,41.385051,-73.531494,Danbury,
4843,6141,14,99.82,41.021355,-73.575439,Greenwich,
4897,6125,14,99.9,41.286062,-72.388916,Old Saybrook,
