"Town1","Town2","crossed"
"Stratford","Trumbull",TRUE
"Suffield","Windsor Locks",FALSE
"Thomaston","Waterbury",FALSE
"Thomaston","Watertown",TRUE
"Thompson","Woodstock",TRUE
"Tolland","Vernon",TRUE
"Tolland","Willington",TRUE
"Torrington","Winchester",TRUE
"Union","Willington",TRUE
"Union","Woodstock",TRUE
"Warren","Washington",TRUE
"Washington","Woodbury",FALSE
"Waterbury","Watertown",TRUE
"Waterbury","Wolcott",TRUE
"Watertown","Woodbury",TRUE
"Weston","Westport",TRUE
"Weston","Wilton",TRUE
"Westport","Wilton",TRUE
"Windsor","Windsor Locks",TRUE
