Date,Town,Number,Status,Strava
2022-03-05,East Hartford,121,Complete,https://www.strava.com/activities/6778352021
2022-03-05,Hartford,122,Started,https://www.strava.com/activities/6778352021
2022-03-05,West Hartford,123,Started,https://www.strava.com/activities/6778352021
2022-03-13,Somers,124,Complete,https://www.strava.com/activities/6820024720
2022-03-13,Ellington,125,Complete,https://www.strava.com/activities/6820024720
2022-03-13,Vernon,126,Complete,https://www.strava.com/activities/6820024720
2022-03-20,Kent,108,Complete,https://www.strava.com/activities/6854104080
2022-03-26,Hartford,122,Complete,https://www.strava.com/activities/6887867499
2022-03-26,Wethersfield,127,Complete,https://www.strava.com/activities/6887867499
2022-03-26,Rocky Hill,128,Complete,https://www.strava.com/activities/6887867499
2022-03-27,Preston,113,Complete,https://www.strava.com/activities/6892772611
2022-03-27,Groton,111,Complete,https://www.strava.com/activities/6893343417
2022-04-09,Montville,129,Complete,https://www.strava.com/activities/6956045595
2022-04-09,Bozrah,130,Started,https://www.strava.com/activities/6956045595
2022-04-22,Killingly,131,Started,https://www.strava.com/activities/7025045348
2022-04-22,Brooklyn,132,Complete,https://www.strava.com/activities/7025045348
2022-04-22,Hampton,133,Started,https://www.strava.com/activities/7025045348
2022-04-23,Lebanon,134,Complete,https://www.strava.com/activities/7030125663
2022-04-23,Franklin,135,Complete,https://www.strava.com/activities/7030125663
2022-04-23,Bozrah,130,Complete,https://www.strava.com/activities/7030125663
2022-04-24,Warren,136,Started,https://www.strava.com/activities/7034976430
2022-04-26,Warren,136,Complete,https://www.strava.com/activities/7043405427
2022-04-27,Cornwall,137,Started,https://www.strava.com/activities/7052243760
2022-04-29,Cornwall,137,Complete,https://www.strava.com/activities/7062103648
2022-04-29,Sharon,138,Started,https://www.strava.com/activities/7062103648
2022-05-01,Chaplin,139,Started,https://www.strava.com/activities/7072727569
2022-05-01,Columbia,140,Started,https://www.strava.com/activities/7072727569
2022-05-01,Andover,141,Started,https://www.strava.com/activities/7072727569
2022-05-01,Coventry,142,Started,https://www.strava.com/activities/7072727569
2022-05-18,Sharon,138,Complete,https://www.strava.com/activities/7166307762
2022-05-23,North Canaan,143,Complete,https://www.strava.com/activities/7192263115
2022-05-26,Glastonbury,144,Started,https://www.strava.com/activities/7205607979
2022-05-27,Glastonbury,144,Complete,https://www.strava.com/activities/7213478158
2022-05-31,Plainfield,38,Complete,https://www.strava.com/activities/7232538376
2022-05-31,Sterling,37,Complete,https://www.strava.com/activities/7232538247
2022-05-31,Killingly,131,Complete,https://www.strava.com/activities/7234037546
2022-05-31,Putnam,145,Started,https://www.strava.com/activities/7234037546
2022-06-02,Andover,141,Complete,https://www.strava.com/activities/7245795847
2022-06-02,Hebron,146,Complete,https://www.strava.com/activities/7245795847
2022-06-04,Willington,147,Complete,https://www.strava.com/activities/7254060133
2022-06-04,Tolland,148,Complete,https://www.strava.com/activities/7254060133
2022-06-04,Coventry,142,Complete,https://www.strava.com/activities/7254060133
2022-06-04,Mansfield,149,Complete,https://www.strava.com/activities/7254060133
2022-06-04,Stafford,150,Started,https://www.strava.com/activities/7255919146
2022-06-07,Marlborough,151,Complete,https://www.strava.com/activities/7269512210
2022-06-11,Columbia,140,Complete,https://www.strava.com/activities/7292231128
2022-06-11,Stafford,150,Complete,https://www.strava.com/activities/7292884406
2022-06-11,Union,152,Complete,https://www.strava.com/activities/7293539432
2022-06-12,Thompson,153,Complete,https://www.strava.com/activities/7299247038
2022-06-12,Putnam,145,Complete,https://www.strava.com/activities/7299247038
2022-06-12,Pomfret,154,Complete,https://www.strava.com/activities/7299247038
2022-06-12,Hampton,133,Complete,https://www.strava.com/activities/7299247038
2022-06-18,Chaplin,139,Complete,https://www.strava.com/activities/7329533286
2022-06-18,Ashford,155,Complete,https://www.strava.com/activities/7329533286
2022-06-18,Eastford,156,Complete,https://www.strava.com/activities/7329533286
2022-06-25,North Stonington,36,Complete,https://www.strava.com/activities/7368243802
2022-06-25,Stonington,35,Complete,https://www.strava.com/activities/7368243802
2022-07-02,West Hartford,123,Complete,https://www.strava.com/activities/7404246413
2022-07-02,Bloomfield,157,Complete,https://www.strava.com/activities/7404246413
2022-07-02,Windsor,158,Complete,https://www.strava.com/activities/7404246413
2022-07-02,Windsor Locks,159,Complete,https://www.strava.com/activities/7404246413
2022-07-04,South Windsor,160,Complete,https://www.strava.com/activities/7414900464
2022-07-04,East Windsor,161,Complete,https://www.strava.com/activities/7414900464
