lat,long,extra 
41.145,-73.325,0
41.145,-73.335,0
41.145,-73.345,0
41.145,-73.355,0
41.145,-73.365,0
41.145,-73.385,0
41.145,-73.395,0
41.145,-73.405,0
41.145,-73.415,0
41.145,-73.425,0
41.145,-73.435,0
41.145,-73.445,0
41.145,-73.455,0
41.145,-73.465,0
41.145,-73.475,0
41.145,-73.485,0
41.145,-73.495,0
41.145,-73.505,0
41.145,-73.515,0
41.145,-73.525,0
41.145,-73.535,0
41.145,-73.545,0
41.145,-73.555,0
41.145,-73.585,0
41.145,-73.595,0
41.145,-73.605,0
41.145,-73.625,0
41.145,-73.635,0
41.145,-73.645,0
41.145,-73.915,0
41.145,-73.925,0
41.155,-73.105,0
41.155,-73.115,0
41.155,-73.125,0
41.155,-73.135,0
41.155,-73.145,0
41.155,-73.155,0
41.155,-73.165,0
41.155,-73.175,0
41.155,-73.185,0
41.155,-73.215,0
41.155,-73.225,0
41.155,-73.235,0
41.155,-73.245,0
41.155,-73.275,0
41.155,-73.285,0
41.155,-73.295,0
41.155,-73.305,0
41.155,-73.315,0
41.155,-73.325,0
41.155,-73.335,0
41.155,-73.345,0
41.155,-73.355,0
41.155,-73.365,0
41.155,-73.375,0
41.155,-73.385,0
41.155,-73.395,0
41.155,-73.405,0
41.155,-73.415,0
41.155,-73.445,0
41.155,-73.455,0
41.155,-73.465,0
41.155,-73.475,0
41.155,-73.485,0
41.155,-73.495,0
41.155,-73.505,0
41.155,-73.515,0
41.155,-73.535,0
41.155,-73.545,0
41.155,-73.555,0
41.155,-73.565,0
41.155,-73.575,0
41.155,-73.585,0
41.155,-73.595,0
41.165,-73.105,0
41.165,-73.115,0
41.165,-73.125,0
41.165,-73.135,0
41.165,-73.145,0
41.165,-73.185,0
41.165,-73.195,0
41.165,-73.215,0
41.165,-73.225,0
41.165,-73.235,0
41.165,-73.245,0
41.165,-73.255,0
41.165,-73.265,0
41.165,-73.275,0
41.165,-73.285,0
41.165,-73.295,0
41.165,-73.305,0
41.165,-73.315,0
41.165,-73.325,0
41.165,-73.335,0
41.165,-73.345,0
41.165,-73.355,0
41.165,-73.365,0
41.165,-73.375,0
41.165,-73.385,0
41.165,-73.395,0
41.165,-73.445,0
41.165,-73.455,0
41.165,-73.465,0
41.165,-73.485,0
41.165,-73.495,0
41.165,-73.505,0
41.165,-73.515,0
